@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Bent-Beak-Riffraff,Blue-collared-Zipper,Bombadil,Broad-winged-Jojo,Canadian-Cootamum,Carries-Champagne-Pipit,Darkwing-Sparrow,Eastern-Corn-Skeet,Green-Tipped-Scarlet-Pipit,Lesser-Birchbeere,Orange-Pine-Plover,Ordinary-Snape,Pinkfinch,Purple-Tooting-Tout,Qax,Queenscoat,Rose-Crested-Blue-Pipit,Scrawny-Jay,Vermillion-Trillian}

@DATA
0.109009,0.014800,2.994224,0.205336,0.175909,0.824912,0.014146,0.185342,-28.948186,1.782629,0.330628,0.375156,0.224149,0.148789,0.178030,0.041148,0.111671,0.041943,0.040576,0.060879,0.045533,0.001108,0.000129,0.022693,0.000410,0.067429,0.000384,0.157799,0.000108,0.000319,0.000883,0.003963,0.000397,0.052089,0.060054,0.017590,0.183991,0.025934,0.020441,0.393425,0.016119,0.123604,1.572519,0.549144,0.170935,0.132176,0.113122,0.120190,0.109935,0.109620,0.101687,0.106657,0.099561,0.101244,0.101275,0.001016,0.000106,0.021517,0.000371,0.046575,0.000326,0.103643,0.000095,0.000287,0.000739,0.003255,0.000408,0.020920,Bent-Beak-Riffraff
0.214275,0.014285,3.118829,0.298672,0.238294,1.396184,0.007057,0.258011,-33.737236,-1.754496,0.314235,-0.308704,-0.072560,-0.472763,-0.007965,-0.034835,-0.090332,0.059180,-0.136552,-0.006540,-0.054841,0.000903,0.000809,0.001040,0.001768,0.001555,0.001702,0.001647,0.004709,0.002957,0.001700,0.002667,0.002357,0.003104,0.031600,0.023555,0.219593,0.038960,0.027613,0.390913,0.006862,0.046967,1.200249,0.422541,0.388503,0.291252,0.310391,0.316524,0.312533,0.277409,0.246771,0.235414,0.201260,0.187352,0.182337,0.001032,0.001059,0.001612,0.002462,0.002442,0.002224,0.001914,0.004611,0.004591,0.002672,0.003794,0.005036,0.002807,Bent-Beak-Riffraff
0.272446,0.002847,3.148640,0.301834,0.196287,1.559552,0.003573,0.352485,-33.290631,-2.411332,-0.106299,-0.321701,-0.614330,-0.160018,-0.003202,-0.034145,0.064744,-0.029957,0.058525,0.030988,-0.042588,0.001286,0.001289,0.002609,0.001446,0.000913,0.001565,0.001938,0.001411,0.001238,0.001984,0.002378,0.001371,0.002309,0.030749,0.003569,0.157863,0.020782,0.016251,0.312472,0.002381,0.045339,0.722566,0.361309,0.300868,0.246156,0.255651,0.210057,0.196208,0.182448,0.173656,0.158041,0.157036,0.160090,0.146970,0.001765,0.001089,0.002344,0.001548,0.000889,0.001643,0.002016,0.001404,0.001392,0.002546,0.002920,0.001599,0.001888,Bent-Beak-Riffraff
0.299166,0.003676,3.161118,0.375950,0.215207,1.123044,0.002509,0.370198,-32.366869,-1.709151,0.346069,-0.690820,-0.451714,-0.190731,-0.098788,0.091291,0.018141,0.012380,0.050446,0.028991,-0.018318,0.000448,0.000458,0.000303,0.000271,0.000302,0.000320,0.000302,0.000555,0.001998,0.002993,0.003097,0.000461,0.001731,0.030200,0.003422,0.122924,0.025104,0.018304,0.596867,0.001217,0.119723,0.429218,0.293926,0.213780,0.209990,0.208731,0.169146,0.159656,0.153222,0.150237,0.147050,0.144447,0.138741,0.135879,0.000629,0.000782,0.000474,0.000292,0.000358,0.000374,0.000392,0.000646,0.002468,0.003147,0.003934,0.000532,0.001400,Bent-Beak-Riffraff
0.271533,0.007946,3.176148,0.293107,0.208025,1.229800,0.004638,0.316291,-28.628550,0.848980,0.372270,0.024369,0.161594,-0.039825,0.128819,-0.065792,0.026852,-0.025791,0.044684,-0.017601,0.033177,0.005830,0.001300,0.008994,0.002088,0.004003,0.001577,0.009950,0.000866,0.001548,0.002601,0.004716,0.003025,0.004442,0.034881,0.012602,0.145729,0.027447,0.013845,0.311816,0.004555,0.035756,0.514818,0.426409,0.320975,0.279240,0.252474,0.232131,0.246062,0.226469,0.193712,0.183859,0.169075,0.162492,0.158613,0.005079,0.000965,0.007229,0.001902,0.003613,0.001341,0.007422,0.000863,0.001646,0.002589,0.003718,0.004044,0.002985,Bent-Beak-Riffraff
0.108394,0.002773,3.040519,0.167275,0.158223,1.007754,0.005736,0.174178,-29.650626,0.991390,0.302111,-0.359273,0.200441,-0.058584,0.264786,-0.141146,0.253640,-0.072598,0.153620,-0.052504,0.159337,0.002771,0.001213,0.083706,0.001833,0.027429,0.001725,0.109234,0.000806,0.001679,0.003285,0.006501,0.002582,0.041989,0.029748,0.005301,0.185692,0.014629,0.016257,0.325005,0.004481,0.055405,0.454856,0.358127,0.270892,0.257108,0.216990,0.202624,0.198377,0.194094,0.176770,0.169454,0.166210,0.149076,0.144620,0.002318,0.001049,0.068390,0.001586,0.024648,0.001407,0.071565,0.000772,0.001541,0.003032,0.005371,0.003092,0.019204,Bent-Beak-Riffraff
0.088584,0.001399,2.866106,0.171008,0.186051,0.589859,0.013583,0.128761,-31.559046,2.003711,0.435817,0.333535,0.221595,0.087428,0.184732,0.021475,0.072091,0.051941,0.074152,0.021006,0.085227,0.001640,0.000455,0.055488,0.000990,0.050301,0.000785,0.185649,0.000409,0.000497,0.001852,0.007490,0.002641,0.058476,0.040526,0.001989,0.233352,0.020865,0.017961,0.286208,0.011697,0.121449,0.879470,0.327771,0.256844,0.240992,0.207504,0.186656,0.183067,0.176194,0.167820,0.161836,0.163369,0.144393,0.143907,0.001962,0.000807,0.048007,0.001016,0.038979,0.000780,0.108582,0.000594,0.000529,0.002239,0.006888,0.002895,0.024322,Bent-Beak-Riffraff
0.222025,0.005412,3.169713,0.223327,0.137514,1.046114,0.005356,0.268150,-30.089090,-1.119853,-1.052544,-0.903596,-0.573967,-0.390678,-0.079940,0.074335,0.232630,0.281981,0.153989,0.088482,0.053909,0.002762,0.001200,0.000603,0.000799,0.001070,0.001048,0.000902,0.001737,0.002952,0.005894,0.001935,0.001981,0.002956,0.025152,0.006630,0.118816,0.014789,0.012842,0.283456,0.003799,0.019309,0.629123,0.488960,0.556655,0.372453,0.342733,0.276725,0.292146,0.280313,0.249789,0.220735,0.190397,0.175163,0.164429,0.003734,0.001845,0.000666,0.000859,0.001399,0.001297,0.001097,0.001615,0.002878,0.005072,0.002298,0.002267,0.001955,Bent-Beak-Riffraff
0.018282,0.007449,2.853424,0.110667,0.181411,0.131224,0.016076,0.015307,-28.535556,1.845663,0.172476,0.008152,0.081544,0.240959,0.018612,0.194219,0.019600,0.128257,0.031774,0.099154,0.024525,0.001147,0.000455,0.042153,0.000942,0.002059,0.000996,0.257054,0.000501,0.000781,0.001468,0.004815,0.000624,0.071964,0.015866,0.007199,0.212918,0.021207,0.032645,0.117109,0.015146,0.021386,0.887032,0.393501,0.301843,0.291379,0.212881,0.193461,0.194236,0.182073,0.180605,0.174020,0.164250,0.154353,0.151801,0.001063,0.000560,0.040711,0.000921,0.001777,0.001155,0.080052,0.000838,0.000997,0.001334,0.004201,0.000849,0.021047,Bent-Beak-Riffraff
0.197356,0.005133,3.217512,0.195082,0.127506,1.169890,0.003992,0.266970,-28.341647,0.254242,-0.390435,-0.386975,-0.384909,-0.435068,-0.385386,-0.371696,-0.327832,-0.280665,-0.167041,-0.171871,-0.250543,0.004590,0.001729,0.002960,0.003319,0.005075,0.004166,0.004216,0.004881,0.003232,0.003221,0.003363,0.002238,0.003391,0.018602,0.006065,0.096450,0.010601,0.013830,0.270731,0.002644,0.023536,0.365656,0.293615,0.296714,0.247987,0.245252,0.222934,0.197292,0.193429,0.191619,0.188438,0.181304,0.180214,0.165352,0.004018,0.001648,0.002240,0.002483,0.004522,0.002686,0.002549,0.003800,0.002754,0.002893,0.002663,0.001838,0.002232,Bent-Beak-Riffraff
